;Season;Lg;W;L;Finish;Age;Ht.;Wt.;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Team;Year
0;2022-23;NBA;57;25;1;27.4;6-6;222.0;82;19980.0;3460;7278;0.475;1315.0;3492.0;0.377;2145;3786;0.567;1436;1769;0.812;796.0;2921.0;3717.0;2186;521.0;430.0;1095.0;1542;9671;BOS;2022
1;2021-22;NBA;51;31;1;26.1;6-5;218.0;82;19905.0;3341;7167;0.466;1085.0;3044.0;0.356;2256;4123;0.547;1397;1713;0.816;863.0;2915.0;3778.0;2036;591.0;478.0;1118.0;1521;9164;BOS;2021
2;2020-21;NBA;36;36;4;25.1;6-5;220.0;72;17380.0;2985;6401;0.466;979.0;2618.0;0.374;2006;3783;0.53;1160;1496;0.775;765.0;2421.0;3186.0;1689;556.0;383.0;1012.0;1471;8109;BOS;2020
3;2019-20;NBA;48;24;2;25.3;6-5;221.0;72;17430.0;2971;6448;0.461;905.0;2487.0;0.364;2066;3961;0.522;1336;1668;0.801;768.0;2549.0;3317.0;1655;595.0;406.0;995.0;1553;8183;BOS;2019
4;2018-19;NBA;49;33;3;25.7;6-6;221.0;82;19780.0;3451;7423;0.465;1032.0;2829.0;0.365;2419;4594;0.527;1282;1598;0.802;804.0;2849.0;3653.0;2155;706.0;435.0;1052.0;1670;9216;BOS;2018
5;2017-18;NBA;55;27;2;24.7;6-6;221.0;82;19805.0;3141;6975;0.45;939.0;2492.0;0.377;2202;4483;0.491;1308;1697;0.771;767.0;2878.0;3645.0;1842;604.0;373.0;1149.0;1618;8529;BOS;2017
6;2016-17;NBA;53;29;1;25.9;6-5;219.0;82;19755.0;3168;6978;0.454;985.0;2742.0;0.359;2183;4236;0.515;1536;1903;0.807;744.0;2698.0;3442.0;2069;617.0;340.0;1088.0;1686;8857;BOS;2016
7;2015-16;NBA;48;34;2;25.2;6-5;220.0;82;19780.0;3216;7318;0.439;717.0;2142.0;0.335;2499;5176;0.483;1520;1929;0.788;950.0;2733.0;3683.0;1981;752.0;348.0;1127.0;1796;8669;BOS;2015
8;2014-15;NBA;40;42;2;25.0;6-6;221.0;82;19880.0;3193;7211;0.443;660.0;2021.0;0.327;2533;5190;0.488;1266;1678;0.754;910.0;2685.0;3595.0;2009;674.0;294.0;1133.0;1738;8312;BOS;2014
9;2013-14;NBA;25;57;4;25.4;6-6;221.0;82;19730.0;2996;6883;0.435;575.0;1729.0;0.333;2421;5154;0.47;1325;1706;0.777;980.0;2505.0;3485.0;1726;584.0;343.0;1261.0;1743;7892;BOS;2013
10;2012-13;NBA;41;40;3;29.1;6-6;214.0;81;19840.0;3001;6459;0.465;498.0;1390.0;0.358;2503;5069;0.494;1318;1698;0.776;654.0;2533.0;3187.0;1843;667.0;365.0;1181.0;1717;7818;BOS;2012
11;2011-12;NBA;39;27;1;29.3;6-6;213.0;66;15940.0;2341;5086;0.46;363.0;988.0;0.367;1978;4098;0.483;1017;1308;0.778;509.0;2051.0;2560.0;1557;498.0;362.0;979.0;1315;6062;BOS;2011
12;2010-11;NBA;56;26;1;29.5;6-6;223.0;82;19780.0;3023;6219;0.486;408.0;1119.0;0.365;2615;5100;0.513;1459;1895;0.77;639.0;2542.0;3181.0;1921;676.0;344.0;1195.0;1678;7913;BOS;2010
13;2009-10;NBA;50;32;1;29.4;6-6;219.0;82;19780.0;3039;6294;0.483;499.0;1433.0;0.348;2540;4861;0.523;1559;2090;0.746;716.0;2449.0;3165.0;1930;701.0;402.0;1219.0;1816;8136;BOS;2009
14;2008-09;NBA;62;20;1;27.8;6-6;222.0;82;19880.0;3075;6333;0.486;538.0;1355.0;0.397;2537;4978;0.51;1587;2075;0.765;869.0;2586.0;3455.0;1862;621.0;387.0;1280.0;1897;8275;BOS;2008
15;2007-08;NBA;66;16;1;27.9;6-6;220.0;82;19755.0;2986;6286;0.475;596.0;1564.0;0.381;2390;4722;0.506;1677;2176;0.771;830.0;2615.0;3445.0;1833;696.0;379.0;1246.0;1864;8245;BOS;2007
