;Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;
0;1;Ralph Sampson;23;HOU;76.0;76.0;76;1.0;82;32.8;21.0;11.1;2.0;0.9;2.4;0.523;0.25;0.661;6.0;0.108;1984
0;1;Michael Jordan;21;CHI;57.5;57.5;78;0.737;82;38.3;28.2;6.5;5.9;2.4;0.8;0.515;0.173;0.845;14.0;0.213;1985
1;2;Hakeem Olajuwon;22;HOU;20.5;20.5;78;0.263;82;35.5;20.6;11.9;1.4;1.2;2.7;0.538;;0.613;10.2;0.168;1985
0;1;Patrick Ewing;23;NYK;36.0;36.0;78;0.462;50;35.4;20.0;9.0;2.0;1.1;2.1;0.474;0.0;0.739;3.1;0.084;1986
1;2;Xavier McDaniel;22;SEA;16.5;16.5;78;0.212;82;33.0;17.1;8.0;2.4;1.2;0.5;0.49;0.2;0.687;5.1;0.091;1986
2;3;Karl Malone;22;UTA;14.5;14.5;78;0.186;81;30.6;14.9;8.9;2.9;1.3;0.5;0.496;0.0;0.481;1.9;0.036;1986
3;4;Spud Webb;22;ATL;4.0;4.0;78;0.051;79;15.6;7.8;1.6;4.3;1.0;0.1;0.483;0.182;0.785;3.5;0.137;1986
4;5T;Manute Bol;23;WSB;3.0;3.0;78;0.038;80;26.1;3.7;6.0;0.3;0.4;5.0;0.46;0.0;0.488;3.9;0.089;1986
5;5T;Charles Oakley;22;CHI;3.0;3.0;78;0.038;77;23.0;9.6;8.6;1.7;0.9;0.4;0.519;0.0;0.662;3.3;0.09;1986
6;7;Benoit Benjamin;21;LAC;1.0;1.0;78;0.013;79;26.4;11.1;7.6;1.0;0.8;2.6;0.49;0.333;0.746;4.0;0.093;1986
0;1;Chuck Person;22;IND;68.0;68.0;78;0.872;82;36.0;18.8;8.3;3.6;1.1;0.2;0.468;0.355;0.747;5.4;0.088;1987
1;2;Ron Harper;23;CLE;10.0;10.0;78;0.128;82;37.4;22.9;4.8;4.8;2.5;1.0;0.455;0.213;0.684;4.2;0.066;1987
0;1;Mark Jackson;22;NYK;77.0;77.0;80;0.963;82;39.6;13.6;4.8;10.6;2.5;0.1;0.432;0.254;0.774;7.6;0.113;1988
1;2T;Greg Anderson;23;SAS;1.0;1.0;80;0.013;82;24.2;11.7;6.3;1.0;0.7;1.5;0.501;0.2;0.604;2.3;0.056;1988
2;2T;Winston Garland;23;GSW;1.0;1.0;80;0.013;67;31.7;12.4;3.4;6.4;1.7;0.1;0.439;0.333;0.879;1.7;0.039;1988
3;2T;Kenny Smith;22;SAC;1.0;1.0;80;0.013;61;35.6;13.8;2.3;7.1;1.5;0.1;0.477;0.308;0.819;2.2;0.049;1988
0;1;Mitch Richmond;23;GSW;80.0;80.0;85;0.941;79;34.4;22.0;5.9;4.2;1.0;0.2;0.468;0.367;0.81;5.6;0.098;1989
1;2;Willie Anderson;22;SAS;4.0;4.0;85;0.047;81;33.8;18.6;5.1;4.6;1.9;0.8;0.498;0.19;0.775;4.9;0.085;1989
2;3;Chris Morris;23;NJN;1.0;1.0;85;0.012;76;27.6;14.1;5.2;1.6;1.3;0.8;0.457;0.366;0.717;2.8;0.064;1989
0;1;David Robinson;24;SAS;92.0;92.0;92;1.0;82;36.6;24.3;12.0;2.0;1.7;3.9;0.531;0.0;0.732;15.1;0.241;1990
0;1;Derrick Coleman;23;NJN;69.0;69.0;96;0.719;74;35.2;18.4;10.3;2.2;1.0;1.3;0.467;0.342;0.731;5.8;0.108;1991
1;2;Lionel Simmons;22;SAC;22.0;22.0;96;0.229;79;37.7;18.0;8.8;4.0;1.4;1.1;0.422;0.273;0.736;2.7;0.044;1991
2;3;Dennis Scott;22;ORL;3.0;3.0;96;0.031;82;28.5;15.7;2.9;1.6;0.8;0.3;0.425;0.374;0.75;2.6;0.054;1991
3;4;Dee Brown;22;BOS;2.0;2.0;96;0.021;82;23.7;8.7;2.2;4.2;1.0;0.2;0.464;0.206;0.873;3.5;0.087;1991
0;1;Larry Johnson;22;CHH;90.5;90.5;96;0.943;82;37.2;19.2;11.0;3.6;1.0;0.6;0.49;0.227;0.829;8.9;0.14;1992
1;2;Dikembe Mutombo;25;DEN;3.5;3.5;96;0.036;71;38.3;16.6;12.3;2.2;0.6;3.0;0.493;;0.642;4.8;0.086;1992
2;3;Billy Owens;22;GSW;2.0;2.0;96;0.021;80;31.4;14.3;8.0;2.4;1.1;0.8;0.525;0.111;0.654;5.6;0.107;1992
0;1;Shaquille O'Neal;20;ORL;96.0;96.0;98;0.98;81;37.9;23.4;13.9;1.9;0.7;3.5;0.562;0.0;0.592;10.4;0.163;1993
1;2;Alonzo Mourning;22;CHH;2.0;2.0;98;0.02;78;33.9;21.0;10.3;1.0;0.3;3.5;0.511;0.0;0.781;8.2;0.148;1993
0;1;Chris Webber;20;GSW;53.0;53.0;101;0.525;76;32.1;17.5;9.1;3.6;1.2;2.2;0.552;0.0;0.532;7.8;0.154;1994
1;2;Anfernee Hardaway;22;ORL;47.0;47.0;101;0.465;82;36.8;16.0;5.4;6.6;2.3;0.6;0.466;0.267;0.742;7.1;0.112;1994
2;3;Jamal Mashburn;21;DAL;1.0;1.0;101;0.01;79;36.7;19.2;4.5;3.4;1.1;0.2;0.406;0.284;0.699;0.9;0.014;1994
0;1T;Grant Hill;22;DET;43.0;43.0;105;0.41;70;38.3;19.9;6.4;5.0;1.8;0.9;0.477;0.148;0.732;5.4;0.097;1995
1;1T;Jason Kidd;21;DAL;43.0;43.0;105;0.41;79;33.8;11.7;5.4;7.7;1.9;0.3;0.385;0.272;0.698;3.7;0.066;1995
2;3;Glenn Robinson;22;MIL;15.0;15.0;105;0.143;80;37.0;21.9;6.4;2.5;1.4;0.3;0.451;0.321;0.796;3.2;0.053;1995
3;4;Eddie Jones;23;LAL;2.0;2.0;105;0.019;64;31.0;14.0;3.9;2.0;2.0;0.6;0.46;0.37;0.722;5.0;0.122;1995
4;5T;Brian Grant;22;SAC;1.0;1.0;105;0.01;80;28.6;13.2;7.5;1.2;0.6;1.5;0.511;0.25;0.636;5.3;0.112;1995
5;5T;Juwan Howard;21;WSB;1.0;1.0;105;0.01;65;36.1;17.0;8.4;2.5;0.8;0.2;0.489;0.0;0.664;2.8;0.057;1995
0;1;Damon Stoudamire;22;TOR;76.0;76.0;113;0.673;70;40.9;19.0;4.0;9.3;1.4;0.3;0.426;0.395;0.797;4.3;0.072;1996
1;2;Arvydas Sabonis;31;POR;17.0;17.0;113;0.15;73;23.8;14.5;8.1;1.8;0.9;1.1;0.545;0.375;0.757;8.4;0.233;1996
2;3;Joe Smith;20;GSW;15.0;15.0;113;0.133;82;34.4;15.3;8.7;1.0;1.0;1.6;0.458;0.357;0.773;6.8;0.116;1996
3;4T;Michael Finley;22;PHO;2.0;2.0;113;0.018;82;39.2;15.0;4.6;3.5;1.0;0.4;0.476;0.328;0.749;6.3;0.095;1996
4;4T;Jerry Stackhouse;21;PHI;2.0;2.0;113;0.018;72;37.5;19.2;3.7;3.9;1.1;1.1;0.414;0.318;0.747;1.2;0.021;1996
