;Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;
0;1;Kevin McHale;26;BOS;59.0;59.0;76;0.776;82;31.4;18.4;7.4;1.3;0.3;1.5;0.556;0.333;0.765;10.5;0.196;1984
1;2;John Drew;29;UTA;14.0;14.0;76;0.184;81;22.2;17.7;4.2;1.7;1.1;0.0;0.479;0.273;0.778;4.5;0.121;1984
2;3T;Kenny Carr;28;POR;1.0;1.0;76;0.013;82;29.9;15.6;7.8;1.9;0.8;0.4;0.561;0.0;0.673;6.7;0.131;1984
3;3T;Phil Hubbard;27;CLE;1.0;1.0;76;0.013;80;22.5;10.8;4.8;1.1;0.9;0.1;0.511;0.0;0.739;4.6;0.124;1984
4;3T;Bobby Jones;32;PHI;1.0;1.0;76;0.013;75;23.5;8.3;4.3;2.5;1.4;1.4;0.523;0.0;0.784;6.0;0.163;1984
0;1;Kevin McHale;27;BOS;57.0;57.0;78;0.731;79;33.6;19.8;9.0;1.8;0.4;1.5;0.57;0.0;0.76;11.0;0.199;1985
1;2T;Clyde Drexler;22;POR;5.0;5.0;78;0.064;80;31.9;17.2;6.0;5.5;2.2;0.9;0.494;0.216;0.759;7.5;0.141;1985
2;2T;Dan Issel;36;DEN;5.0;5.0;78;0.064;77;21.9;12.8;4.3;1.8;0.8;0.4;0.459;0.143;0.806;4.3;0.124;1985
3;4;Michael Cooper;28;LAL;4.0;4.0;78;0.051;82;26.7;8.6;3.1;5.2;1.1;0.6;0.465;0.285;0.865;4.6;0.102;1985
4;5;Jay Vincent;25;DAL;2.0;2.0;78;0.026;79;32.2;18.2;8.9;2.1;0.6;0.3;0.479;0.0;0.836;6.5;0.123;1985
5;6T;Quintin Dailey;24;CHI;1.0;1.0;78;0.013;79;26.6;16.0;2.6;2.4;0.9;0.1;0.473;0.233;0.817;2.6;0.059;1985
6;6T;Bobby Jones;33;PHI;1.0;1.0;78;0.013;80;20.4;7.5;3.7;1.9;1.1;0.6;0.538;0.0;0.861;4.8;0.142;1985
7;6T;Bob McAdoo;33;LAL;1.0;1.0;78;0.013;66;19.0;10.5;4.5;1.0;0.3;0.8;0.52;0.0;0.753;2.9;0.11;1985
8;6T;Terry Tyler;28;DET;1.0;1.0;78;0.013;82;24.4;11.6;5.2;0.8;0.6;1.1;0.494;0.0;0.716;4.5;0.108;1985
9;6T;Mike Woodson;26;KCK;1.0;1.0;78;0.013;78;25.6;17.0;2.5;1.8;1.5;0.4;0.496;0.238;0.8;4.2;0.101;1985
0;1;Bill Walton;33;BOS;32.0;32.0;78;0.41;80;19.3;7.6;6.8;2.1;0.5;1.3;0.562;;0.713;5.0;0.157;1986
1;2;Ricky Pierce;26;MIL;11.0;11.0;78;0.141;81;26.5;13.9;2.9;2.2;1.0;0.1;0.538;0.13;0.858;8.3;0.186;1986
2;3;Eddie Johnson;26;SAC;10.0;10.0;78;0.128;82;30.7;18.7;5.1;2.6;0.7;0.2;0.475;0.2;0.816;4.0;0.077;1986
3;4;Michael Cooper;29;LAL;9.0;9.0;78;0.115;82;27.7;9.2;3.0;5.7;1.1;0.5;0.452;0.387;0.865;5.8;0.123;1986
4;5;Thurl Bailey;24;UTA;5.0;5.0;78;0.064;82;28.8;14.6;6.0;1.9;0.5;1.4;0.448;0.0;0.83;4.0;0.081;1986
0;1;Ricky Pierce;27;MIL;41.0;41.0;78;0.526;79;31.7;19.5;3.4;1.8;0.8;0.3;0.534;0.107;0.88;9.4;0.18;1987
1;2;Vinnie Johnson;30;DET;19.0;19.0;78;0.244;78;27.8;15.7;3.3;3.8;1.2;0.2;0.462;0.286;0.786;4.8;0.107;1987
